.微信卡包,,,1,帮助解决使用微信卡券过程中遇到的问题，收集关于微信卡券的反馈建议。,广州,广东,24
.北京市顺义区第九中学,,,1,宣传办学理念，展示学校风采。提振师生精神，激发自豪情感的阵地与平台。,顺义,北京,24
.高三11,,,1,,,,0
.肯德基,,,1,随时随地获取KFC优惠券、最新产品和活动信息,徐汇,上海,24
.326,,,1,,,,0
.微信团队,,,1,微信团队官方帐号,,,56
.北京移动,,,1,北京移动唯一官方指定公众号！ 信息一键查询、业务在线办理、最新优惠资讯，还有更多免费流量、话费、积分活动等你来参与~~,东城,北京,24
.文件传输助手,,,1,,,,0
.汉堡王中国,,,1,汉堡王Burger King就是一个疯狂的美食创造者，我们用不同的理念以及智慧，一直致力于创造出更多非比寻常的美食，这里是汉堡王微信小店，在这里你可以了解汉堡王的各色美食、热力优惠、门店地址等资讯。,徐汇,上海,24
.微信支付,,,1,帮助解决微信支付中遇到的困难，收集关于微信支付的建议反馈。,,广东,24
.hotwind热风,,,1, ,闵行,上海,24
.微信运动,,,1,也许你早已习惯一个人运动的孤独，却也偶尔渴望得到赞赏。加入微信运动，和朋友一起点赞互动、抢占封面，分享运动的快乐。,广州,广东,24
.一颗颗白菜,,,1,一起愉快地来摘菜吧。,泉州,福建,24
.沪江,,,1,沪江官方服务号，为亿万沪友提供免费新鲜英语、日语、韩语、法德西俄泰意等外语学习资讯栏目，以及英语四六级、日语能力考、韩语Topik考试资料，答案解析，代理查分服务。,浦东新区,上海,24
.味多美,,,3,味多美官方服务号，第一时间了解优惠活动，查询门店/余额/积分，蛋糕面包轻松订购极速送达,西城,北京,24
.泰山松,复变  电152 黄建成,,1,,泰安,山东,0
.大众点评,,,3,大众点评服务号，为你提供身边的吃喝玩乐信息，和优质低价的团购服务。专业的中国城市消费指南：餐馆美食、购物、电影、酒店、KTV、外卖各种优惠一应俱全，实惠新潮的活动资讯不间断。,长宁,上海,24
.中信银行,,,1,移动智能 遇见美好未来,东城,北京,24
.中信银行总行营业部,,,1,中信银行北京地区精彩特惠活动、品牌服务、产品资讯等，精彩不断，欢迎关注！,西城,北京,24
.滴滴出行服务号,,,3,滴滴出行是全球领先的移动出行平台；为超过4亿用户提供出租车、专车、快车、顺风车、豪华车、公交、小巴、代驾、租车、企业级、共享单车等全面的出行服务。,海淀,北京,24
.科151撕逼扯淡群,,,1,,,,0
.杨金瑶的长辈群,,,3,,,,0
.北京必胜客,,,1,Love to share。我们天生爱分享，比萨天生被分享。,东城,北京,24
.屈臣氏服务助手,,,3,屈臣氏服务助手，提供便捷的会员服务。有奖活动、护肤推荐等丰富内容让你玩出美丽！还可即时查询最新的小屈优惠信息！,广州,广东,24
.这个群将来会有12个人,,,1,,,,0
.北石化信息门户,,,1,北京石油化工学院企业号,,,24
.石化通讯录,,,3,您可以通过在消息输入框中输入您要查找的用户的姓名,,,8
.网络信息中心,,,3,教师网络服务,,,8
.校内信息,,,3,北京石油化工学院,,,8
.晨曦新闻,,,3,晨曦新闻,,,8
.北石化信息门户消息,,,3,消息服务，帮你在微信中接收企业内部聊天消息。,,,8
.校园生活,,,3,学生校园生活,,,8
.学校邮箱,,,3,学校邮箱,,,8
.校园班车,,,3,校园班车时间表,,,8
.学校校历,,,3,学校校历,,,8
.校园一卡通,,,3,校园一卡通消费,,,8
.B互动中心,,,3,,,,8
.B失物招领,,,3,,,,8
.B跳蚤市场,,,3,,,,8
.一卡通招领,,,3,一卡通招领,,,8
.处级干部通讯录,,,3,处级干部通讯录,,,8
.Z校园图集,,,3,展示校园风景、人物、事件等,,,8
.办公电话,,,3,办公电话,,,8
.微信游戏,,,3,关注微信游戏官方公众帐号，即时收取游戏讯息，还能查看各游戏攻略，抢先体验活动！,广州,广东,24
.大型仪器共享,,,3,,,,8
.YYsports胜道体育,,,1,YYSPORTS胜道商城,虹口,上海,24
